"","sample","time","sex","cell","SampleID"
"1","X1A",2,"male","D1","X1A"
"2","X1B",2,"male","D1","X1B"
"3","X1C",2,"male","D1","X1C"
"4","X1D",2,"male","D1","X1D"
"5","X2A",6,"male","D1","X2A"
"6","X2B",6,"male","D1","X2B"
"7","X2C",6,"male","D1","X2C"
"8","X2D",6,"male","D1","X2D"
"9","X3A",10,"male","D1","X3A"
"10","X3B",10,"male","D1","X3B"
"11","X3C",10,"male","D1","X3C"
"12","X3D",10,"male","D1","X3D"
"13","X4A",14,"male","D1","X4A"
"14","X4C",14,"male","D1","X4C"
"15","X4D",14,"male","D1","X4D"
"16","X5A",18,"male","D1","X5A"
"17","X5C",18,"male","D1","X5C"
"18","X5D",18,"male","D1","X5D"
"19","X6A",22,"male","D1","X6A"
"20","X6B",22,"male","D1","X6B"
"21","X6C",22,"male","D1","X6C"
"22","X6D",22,"male","D1","X6D"
