"","sample","time","sex","cell","SampleID"
"1","X10A",14,"female","D1","X10A"
"2","X10B",14,"female","D1","X10B"
"3","X10C",14,"female","D1","X10C"
"4","X10D",14,"female","D1","X10D"
"5","X11A",18,"female","D1","X11A"
"7","X11C",18,"female","D1","X11C"
"8","X11D",18,"female","D1","X11D"
"9","X12A",22,"female","D1","X12A"
"10","X12B",22,"female","D1","X12B"
"11","X12C",22,"female","D1","X12C"
"12","X12E",22,"female","D1","X12E"
"41","X1A",2,"male","D1","X1A"
"42","X1B",2,"male","D1","X1B"
"43","X1C",2,"male","D1","X1C"
"44","X1D",2,"male","D1","X1D"
"65","X2A",6,"male","D1","X2A"
"66","X2B",6,"male","D1","X2B"
"67","X2C",6,"male","D1","X2C"
"68","X2D",6,"male","D1","X2D"
"69","X3A",10,"male","D1","X3A"
"70","X3B",10,"male","D1","X3B"
"71","X3C",10,"male","D1","X3C"
"72","X3D",10,"male","D1","X3D"
"73","X4A",14,"male","D1","X4A"
"75","X4C",14,"male","D1","X4C"
"76","X4D",14,"male","D1","X4D"
"77","X5A",18,"male","D1","X5A"
"79","X5C",18,"male","D1","X5C"
"80","X5D",18,"male","D1","X5D"
"81","X6A",22,"male","D1","X6A"
"82","X6B",22,"male","D1","X6B"
"83","X6C",22,"male","D1","X6C"
"84","X6D",22,"male","D1","X6D"
"85","X7A",2,"female","D1","X7A"
"86","X7B",2,"female","D1","X7B"
"87","X7C",2,"female","D1","X7C"
"88","X7D",2,"female","D1","X7D"
"89","X8A",6,"female","D1","X8A"
"90","X8B",6,"female","D1","X8B"
"91","X8C",6,"female","D1","X8C"
"92","X8D",6,"female","D1","X8D"
"93","X9A",10,"female","D1","X9A"
"94","X9B",10,"female","D1","X9B"
"95","X9C",10,"female","D1","X9C"
"96","X9D",10,"female","D1","X9D"
