"","SampleID","time"
"1","gII_1",21.2190179843456
"2","gII_2",7.04791394434869
"3","gII_3",3.9165941812098
"4","gII_4",8.20239143818617
"5","gII_5",15.9815898276865
"6","gII_6",16.9437761977315
"7","gII_7",16.8871648684144
"8","gII_8",9.74579601734877
"9","gII_9",7.35801767371595
"10","gII_10",23.2465938404202
"11","gII_11",1.15613554604352
"12","gII_12",0.209641981869936
"13","gII_13",17.6641373075545
"14","gII_14",6.31455770507455
"15","gII_15",23.2160390038043
"16","gII_16",6.79294998385012
"17","gII_17",21.980535345152
"18","gII_18",5.30807361938059
"19","gII_19",17.4306384790689
"20","gII_20",16.8745173085481
"21","gII_21",6.14580492675304
"22","gII_22",2.88412192650139
"23","gII_23",13.5791972838342
"24","gII_24",22.4999258201569
"25","gII_25",3.77629734948277
"26","gII_26",12.1854502558708
"27","gII_27",7.68093400262296
"28","gII_28",1.81888661719859
"29","gII_29",14.0835667122155
"30","gII_30",4.30217572487891
