"","SampleID","time"
"1","gI_1",10.688802106306
"2","gI_2",4.79932575859129
"3","gI_3",18.1927756592631
"4","gI_4",1.28944203257561
"5","gI_5",16.7626027520746
"6","gI_6",11.1298544425517
"7","gI_7",0.0822279173880816
"8","gI_8",21.0936525184661
"9","gI_9",1.86943444423378
"10","gI_10",15.1801144313067
"11","gI_11",22.105033904314
"12","gI_12",0.741671165451407
"13","gI_13",3.41202173754573
"14","gI_14",5.94352178648114
"15","gI_15",9.5275812484324
"16","gI_16",1.96708982996643
"17","gI_17",10.2239102907479
"18","gI_18",1.80876469798386
"19","gI_19",3.18311117403209
"20","gI_20",13.8505628742278
